"","firstgabor","corrAns","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_2.keys","key_resp_2.rt","resp.keys","resp.corr","resp.rt","resp_mrating.keys","resp_mrating.rt","lumi","mean","luminance","expName","participant","frameRate","session","date","X"
"104",2,"down",2,0,2,0,0,1,1,9,1,0.447122331379,2,1,2.68172835295,2,1.19932947378,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"105",2,"down",2,0,2,0,0,2,2,7,2,0.623574756397,2,1,0.469094231343,1,0.55339588652,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"106",1,"left",2,0,2,0,0,3,3,2,2,0.882389562028,1,1,0.41128560005,1,1.59926702583,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"107",1,"left",2,0,2,0,0,4,4,0,1,0.729509121367,1,1,0.764166194713,1,0.528743190691,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"108",2,"down",2,0,2,0,0,5,5,3,1,0.422916627365,2,1,0.91774811607,1,0.622872120686,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"109",1,"left",2,0,2,0,0,6,6,8,1,0.258914522152,1,1,0.328959794992,1,0.434722447342,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"110",1,"left",2,0,2,0,0,7,7,6,2,0.494200849093,1,1,0.599749053175,1,1.293145394,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"111",2,"down",2,0,2,0,0,8,8,5,2,0.529380760408,2,1,0.434897625015,1,0.72876875508,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"112",2,"down",2,0,2,0,0,9,9,1,2,2.41166367581,2,1,0.43481600377,2,1.39929228221,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"113",2,"down",2,0,2,0,1,0,10,3,1,2.34211544555,2,1,1.71712579258,1,0.858180392959,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"114",1,"left",2,0,2,0,1,1,11,8,2,1.00027720422,1,1,0.693064465768,2,1.03493081252,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"115",1,"left",2,0,2,0,1,2,12,4,1,0.340581197161,1,1,0.799690686283,2,1.07030322677,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"116",2,"down",2,0,2,0,1,3,13,9,1,0.388450516928,1,0,0.775010655037,1,0.388271874204,0.079934211,0.928571428571,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"117",2,"down",2,0,2,0,1,4,14,5,1,3.46946576201,1,0,2.05835225958,1,0.59910339833,0.079934211,0.866666666667,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"118",1,"left",2,0,2,0,1,5,15,2,2,0.25902848389,1,1,0.846792304348,1,0.810699929121,0.079934211,0.875,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"119",1,"left",2,0,2,0,1,6,16,0,1,1.95300887862,2,0,0.30568580518,2,0.457169059542,0.079934211,0.823529411765,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"120",1,"left",2,0,2,0,1,7,17,6,1,1.45887001547,2,0,0.540698777953,1,0.387543828107,0.079934211,0.777777777778,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"121",2,"down",2,0,2,0,1,8,18,7,1,1.37650686485,2,1,0.352527929288,2,0.293461868825,0.079934211,0.789473684211,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
