fold,model,score,test,train,window
35,RandomForestClassifier,0.5770782530650952,POS,ATT,0
36,RandomForestClassifier,0.5871345485606985,POS,ATT,0
37,RandomForestClassifier,0.5882805451489814,POS,ATT,0
38,RandomForestClassifier,0.5849969140652602,POS,ATT,0
39,RandomForestClassifier,0.5874976667342625,POS,ATT,0
40,RandomForestClassifier,0.5849959307086614,POS,ATT,0
41,RandomForestClassifier,0.5897077049238489,POS,ATT,0
42,RandomForestClassifier,0.5876651029389929,POS,ATT,0
43,RandomForestClassifier,0.5898597093385144,POS,ATT,0
44,RandomForestClassifier,0.5885776392060869,POS,ATT,0
45,RandomForestClassifier,0.5814832288196864,POS,ATT,0
46,RandomForestClassifier,0.5899507508662911,POS,ATT,0
47,RandomForestClassifier,0.5847333416401332,POS,ATT,0
48,RandomForestClassifier,0.5852395727099096,POS,ATT,0
49,RandomForestClassifier,0.588448957480315,POS,ATT,0
50,RandomForestClassifier,0.5797347852527701,POS,ATT,0
51,RandomForestClassifier,0.5801998133722204,POS,ATT,0
52,RandomForestClassifier,0.5825519487308063,POS,ATT,0
53,RandomForestClassifier,0.5841021048910654,POS,ATT,0
54,RandomForestClassifier,0.5868775705645162,POS,ATT,0
55,RandomForestClassifier,0.5893438210544433,POS,ATT,0
56,RandomForestClassifier,0.5844990033037625,POS,ATT,0
57,RandomForestClassifier,0.5868949371359526,POS,ATT,0
58,RandomForestClassifier,0.5864357462799317,POS,ATT,0
59,RandomForestClassifier,0.5832653620481683,POS,ATT,0
60,RandomForestClassifier,0.5847444957156528,POS,ATT,0
61,RandomForestClassifier,0.5775719088441558,POS,ATT,0
62,RandomForestClassifier,0.5871238137547456,POS,ATT,0
63,RandomForestClassifier,0.5873068279163517,POS,ATT,0
64,RandomForestClassifier,0.5845258038005772,POS,ATT,0
65,RandomForestClassifier,0.583829746775203,POS,ATT,0
66,RandomForestClassifier,0.5855703569798697,POS,ATT,0
67,RandomForestClassifier,0.5819301770228693,POS,ATT,0
68,RandomForestClassifier,0.5879651598694297,POS,ATT,0
69,RandomForestClassifier,0.5856202644751831,POS,ATT,0
70,RandomForestClassifier,0.5790682767891415,POS,ATT,0
71,RandomForestClassifier,0.5809196829926251,POS,ATT,0
72,RandomForestClassifier,0.5884027167168768,POS,ATT,0
73,RandomForestClassifier,0.5807583827214369,POS,ATT,0
74,RandomForestClassifier,0.5860614535388169,POS,ATT,0
75,RandomForestClassifier,0.5906311806078706,POS,ATT,0
76,RandomForestClassifier,0.5891231776157175,POS,ATT,0
77,RandomForestClassifier,0.5853669010314314,POS,ATT,0
78,RandomForestClassifier,0.5907838458262673,POS,ATT,0
79,RandomForestClassifier,0.587206634855797,POS,ATT,0
80,RandomForestClassifier,0.5923602185349082,POS,ATT,0
81,RandomForestClassifier,0.5843403661324095,POS,ATT,0
82,RandomForestClassifier,0.5829306563333435,POS,ATT,0
83,RandomForestClassifier,0.5894744255721994,POS,ATT,0
84,RandomForestClassifier,0.582718755354857,POS,ATT,0
85,RandomForestClassifier,0.5930793725095074,POS,ATT,0
86,RandomForestClassifier,0.585180121441149,POS,ATT,0
87,RandomForestClassifier,0.5850477509652199,POS,ATT,0
88,RandomForestClassifier,0.580459630493607,POS,ATT,0
89,RandomForestClassifier,0.5872933624511278,POS,ATT,0
90,RandomForestClassifier,0.5876032920400367,POS,ATT,0
91,RandomForestClassifier,0.592838370068363,POS,ATT,0
92,RandomForestClassifier,0.588412529993034,POS,ATT,0
93,RandomForestClassifier,0.5833911056302057,POS,ATT,0
94,RandomForestClassifier,0.5863638407811146,POS,ATT,0
95,RandomForestClassifier,0.5944670283680076,POS,ATT,0
96,RandomForestClassifier,0.5850229168859163,POS,ATT,0
97,RandomForestClassifier,0.5882506189676677,POS,ATT,0
98,RandomForestClassifier,0.5845740597612952,POS,ATT,0
99,RandomForestClassifier,0.5830204364573689,POS,ATT,0
100,RandomForestClassifier,0.5841612601694638,POS,ATT,0
1,LogisticRegression,0.539391033477863,ATT,POS,1
2,LogisticRegression,0.5436380710467089,ATT,POS,1
3,LogisticRegression,0.5441125573134614,ATT,POS,1
4,LogisticRegression,0.5422882434882977,ATT,POS,1
5,LogisticRegression,0.5456088618377868,ATT,POS,1
6,LogisticRegression,0.5436819402902787,ATT,POS,1
7,LogisticRegression,0.5388737061644935,ATT,POS,1
8,LogisticRegression,0.5423873309491738,ATT,POS,1
9,LogisticRegression,0.5439287447478721,ATT,POS,1
10,LogisticRegression,0.5402532298369469,ATT,POS,1
11,LogisticRegression,0.5411554576836969,ATT,POS,1
12,LogisticRegression,0.5383865046660106,ATT,POS,1
13,LogisticRegression,0.5457682141845603,ATT,POS,1
14,LogisticRegression,0.5371701510370139,ATT,POS,1
15,LogisticRegression,0.5461224511244258,ATT,POS,1
16,LogisticRegression,0.5462397303074606,ATT,POS,1
17,LogisticRegression,0.542992260600234,ATT,POS,1
18,LogisticRegression,0.5451979424626322,ATT,POS,1
19,LogisticRegression,0.5441667390410041,ATT,POS,1
20,LogisticRegression,0.5406945484677141,ATT,POS,1
