awareness,confidence,correct,experiment_test,experiment_train,fold,model,participant,score,sub,window
,,,POS,ATT,50.5,LogisticRegression,FW,0.49759487530673974,,4
,,,POS,ATT,50.5,LogisticRegression,HB,0.4772163647163652,,4
,,,ATT,POS,50.5,LogisticRegression,IK,0.42146685752912627,,4
,,,ATT,POS,50.5,LogisticRegression,JD,0.5264708893994088,,4
,,,ATT,POS,50.5,LogisticRegression,JZ,0.47572913914284237,,4
,,,ATT,POS,50.5,LogisticRegression,KK,0.5798930846223844,,4
,,,POS,ATT,50.5,LogisticRegression,KK,0.5222450702367609,,4
,,,ATT,POS,50.5,LogisticRegression,KS,0.4977993353212403,,4
,,,POS,ATT,50.5,LogisticRegression,LM,0.48699904983108083,,4
,,,POS,ATT,50.5,LogisticRegression,MC,0.4273179535467673,,4
,,,POS,ATT,50.5,LogisticRegression,MP1,0.4949354293105164,,4
,,,POS,ATT,50.5,LogisticRegression,MP2,0.4190033752964787,,4
,,,POS,ATT,50.5,LogisticRegression,NN,0.4912204569327732,,4
,,,ATT,POS,50.5,LogisticRegression,OE,0.5270888468809072,,4
,,,ATT,POS,50.5,LogisticRegression,OS,0.5159906886672332,,4
,,,ATT,POS,50.5,LogisticRegression,PC,0.44460214053047914,,4
,,,ATT,POS,50.5,LogisticRegression,RL,0.4696528487356922,,4
,,,POS,ATT,50.5,LogisticRegression,RP,0.5199256618472308,,4
,,,POS,ATT,50.5,LogisticRegression,SD,0.42753958568738226,,4
,,,ATT,POS,50.5,LogisticRegression,SO,0.5141523822562973,,4
,,,ATT,POS,50.5,LogisticRegression,SP,0.4538723012690211,,4
,,,POS,ATT,50.5,LogisticRegression,TJ,0.47137986754966915,,4
,,,POS,ATT,50.5,LogisticRegression,TS,0.5016193121693127,,4
,,,ATT,POS,50.5,LogisticRegression,WT,0.45777212226430875,,4
,,,POS,ATT,50.5,LogisticRegression,WT,0.46672197076032645,,4
,,,ATT,POS,50.5,LogisticRegression,YS,0.5042888566912542,,4
,,,POS,ATT,50.5,RandomForestClassifier,AC,0.45784986609252754,,4
,,,ATT,POS,50.5,RandomForestClassifier,AS,0.5037042336724644,,4
,,,ATT,POS,50.5,RandomForestClassifier,BG,0.3816197331645833,,4
,,,POS,ATT,50.5,RandomForestClassifier,CL,0.44082585921012984,,4
,,,ATT,POS,50.5,RandomForestClassifier,EU,0.4719649491302919,,4
